model,5,id,seed 1,seed 2,seed 3,seed 4,seed 5,true label,,,,,
ChatGPT-4,5,0,1,1,1,1,1,1,,,,,
ChatGPT-4,5,1,1,1,0,0,1,1,,,,,
ChatGPT-4,5,2,1,1,1,1,1,1,,,,,
ChatGPT-4,5,3,1,1,1,0,0,1,,,,,
ChatGPT-4,5,4,1,1,1,1,1,1,,,,,
ChatGPT-4,5,5,1,1,1,0,1,1,,,,,
ChatGPT-4,5,6,1,1,1,1,1,1,,,,,
ChatGPT-4,5,7,1,1,1,1,1,1,,,,,
ChatGPT-4,5,8,1,1,0,1,1,1,,,,,
ChatGPT-4,5,9,1,1,1,1,0,1,,,,,
ChatGPT-4,5,10,1,0,0,0,0,1,,,,,
ChatGPT-4,5,11,1,1,1,1,0,1,,,,,
ChatGPT-4,5,12,0,0,0,0,0,1,,,,,
ChatGPT-4,5,13,1,1,0,1,1,1,,,,,
ChatGPT-4,5,28,1,1,1,1,1,0,,,,,
ChatGPT-4,5,29,0,0,0,0,0,0,,,,,40
ChatGPT-4,5,30,1,1,0,1,1,0,,,,,
ChatGPT-4,5,31,1,1,0,1,1,0,,,,,
ChatGPT-4,5,32,0,0,0,0,0,0,,,,,
ChatGPT-4,5,33,1,1,1,1,1,0,,,,,
ChatGPT-4,5,34,1,1,1,1,1,0,,,,,
ChatGPT-4,5,35,1,0,1,0,1,0,,,,,
ChatGPT-4,5,36,0,0,0,0,0,0,,,,,
ChatGPT-4,5,37,0,1,0,1,0,0,,,,,
ChatGPT-4,5,38,1,1,0,0,0,0,,,,,
ChatGPT-4,5,39,1,1,1,1,0,0,,,,,
ChatGPT-4,5,40,0,0,0,0,0,0,,,,,
ChatGPT-4,5,41,1,1,0,1,1,0,,,,,
ChatGPT-4,15,0,1,1,1,1,1,1,,,,,
ChatGPT-4,15,1,1,1,1,1,1,1,,,,,
ChatGPT-4,15,2,1,1,1,1,1,1,,,,,
ChatGPT-4,15,3,1,1,1,0,1,1,,,,,
ChatGPT-4,15,4,1,1,1,1,1,1,,,,,
ChatGPT-4,15,5,1,1,1,1,1,1,,,,,
ChatGPT-4,15,6,1,1,1,1,1,1,,,,,
ChatGPT-4,15,7,1,1,1,1,1,1,,,,,
ChatGPT-4,15,8,1,1,0,1,1,1,,,,,
ChatGPT-4,15,9,0,1,1,1,0,1,,,,,
ChatGPT-4,15,10,1,0,1,1,1,1,,,,,
ChatGPT-4,15,11,1,1,1,0,1,1,,,,,
ChatGPT-4,15,12,0,0,0,0,0,1,,,,,
ChatGPT-4,15,13,1,1,0,1,1,1,,,,,
ChatGPT-4,15,28,1,1,1,1,1,0,,,,,
ChatGPT-4,15,29,1,0,1,0,1,0,,,,,
ChatGPT-4,15,30,1,0,0,1,1,0,,,,,
ChatGPT-4,15,31,1,1,1,1,1,0,,,,,
ChatGPT-4,15,32,1,0,1,0,0,0,,,,,
ChatGPT-4,15,33,1,1,1,1,1,0,,,,,
ChatGPT-4,15,34,1,1,1,1,1,0,,,,,
ChatGPT-4,15,35,0,0,1,0,1,0,,,,,
ChatGPT-4,15,36,1,0,1,1,1,0,,,,,
ChatGPT-4,15,37,1,1,1,1,0,0,,,,,
ChatGPT-4,15,38,1,1,1,0,1,0,,,,,
ChatGPT-4,15,39,1,1,1,1,0,0,,,,,
ChatGPT-4,15,40,0,0,0,0,0,0,,,,,
ChatGPT-4,15,41,1,1,1,1,1,0,,,,,
